20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修.,330万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RwYH1RFGt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五，业主诚心售卖，房间采光户型好，户户明亮,520万,高楼层                                    (共7层)                                                                      | 1995年建 |                                3室2厅 | 100.17平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_lTHAOqQuT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 红本 税费少交易快！居住安静舒适!,430万,高楼层                                    (共8层)                                                                      | 2002年建 |                                2室2厅 | 66.73平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_4q3lGhWEB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,松泉山庄满五年 顶楼带平台 少有在卖,825万,高楼层                                    (共6层)                                                                      | 1998年建 |                                2室1厅 | 148平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_uwPcDNebM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园东晓 南北通3房2厅，客厅出阳台，通风采光好,920万,中楼层                                    (共17层)                                                                      | 2016年建 |                                3室2厅 | 118.24平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_5bAdeJ6Jf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,万科物业，中间楼层，看小区花园，安静住家，满五唯一,700万,中楼层                                    (共10层)                                                                      | 2003年建 |                                3室2厅 | 100.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qJ95Cs71F_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年，西南向，通透好，采光性强必看好房,420万,中楼层                                    (共21层)                                                                      | 2002年建 |                                2室1厅 | 66.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_c3T9qaQfl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，精装设计，翠园东晓为邻，布心地铁口物业,560万,低楼层                                    (共25层)                                                                      | 2002年建 |                                2室1厅 | 61.51平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_PlUXwGgOX.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,彩世界家园 3室1厅 西北必看好房,590万,低楼层                                    (共31层)                                                                      | 2002年建 |                                3室1厅 | 105.77平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_lEAdWYe8h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年唯一税费少 无增值税 采光通透性好,720万,高楼层                                    (共23层)                                                                      | 2002年建 |                                3室1厅 | 97平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ha7nIb5Gl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装修  小高层带电梯  保养好,710万,高楼层                                    (共10层)                                                                      | 1999年建 |                                2室2厅 | 83.81平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OUODOOUY9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，精装设计，翠园东晓为邻，布心地铁口物业,680万,低楼层                                    (共25层)                                                                      | 2002年建 |                                4室2厅 | 61.51平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_cUT6onmKn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝珠宝商圈  地铁口 满五年精装两房必看好房,515万,低楼层                                    (共35层)                                                                      | 2004年建 |                                2室1厅 | 68.06平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_0Fsve4Bog_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝商圈，顶楼复式，交通便利，安静居家人车分流,698万,高楼层                                    (共18层)                                                                      | 2002年建 |                                3室2厅 | 76.92平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_SgotLX4mV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,比华利山庄 5室2厅 南,723万,高楼层                                    (共7层)                                                                      | 1995年建 |                                5室2厅 | 141.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_SU6EVU4SS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园东晓为邻，朝正南向，视野好，看东湖水库景观,760万,中楼层                                    (共25层)                                                                      | 2002年建 |                                4室2厅 | 66.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ORc2Xy5DH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,温馨山景房，精装修，安静居家，带翠园，房美人更美。,545万,高楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 74.04平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_zRnGSIoE3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,朝向好，视野开阔，居住安静舒适！,360万,中楼层                                    (共8层)                                                                      | 2001年建 |                                3室2厅 | 69.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TzdYN6XLO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,IBC商城旁 业主诚心卖 看房方便,439万,高楼层                                    (共29层)                                                                      | 1995年建 |                                3室2厅 | 100.95平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_tDSUFeC51_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,培峰苑精装两房一厅，次新房小区，业主诚心出售.,278万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 45.98平米                                  | 东 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qE6MMxekx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,比华利山庄，楼层好，位置好，看房方便,530万,中楼层                                    (共7层)                                                                      | 1995年建 |                                3室2厅 | 89.85平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Rvwq69MoZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，税费少，畔山绿化多，乐享天然氧吧,610万,低楼层                                    (共34层)                                                                      | 2003年建 |                                2室2厅 | 82.26平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_yp9fH88Z4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,环境优美、空气清新、安全性好、管理严格,1960万,中楼层                                    (共32层)                                                                      | 2014年建 |                                5室2厅 | 245平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_z9kZabw4p_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝工业区 珠宝商铺店面税费少,300万,高楼层                                    (共5层)                                                                      | 1997年建 |                                1室1厅 | 43.5平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bDG2VGlhl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山一期 店长推荐 4+1房 南 北  前后大阳台,1450万,中楼层                                    (共32层)                                                                      | 2006年建 |                                5室2厅 | 170.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_V6gEDXD6H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园东晓 20楼以上 红本在手满五唯一 费用少 采光好,790万,高楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 92.54平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_cJa3oayLa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,20楼以上 红本在手满五唯一 费用少 经典户型 采光好,780万,高楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 94.39平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_huK9ouip5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年红本在手，新装修，不受新政影响看房方便,715万,中楼层                                    (共25层)                                                                      | 2002年建 |                                4室1厅 | 61.35平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_sHJzqiZFd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，户型方正实用，看房方便,610万,低楼层                                    (共31层)                                                                      | 2002年建 |                                3室2厅 | 105平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_To6XdG5PL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典错层设计，高楼层视野好，自住上品,756万,高楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 61.54平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_Us3xJs4Vu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装南向三房！满五年，看房方便,755万,高楼层                                    (共34层)                                                                      | 2003年建 |                                3室2厅 | 98.57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hTP0avETs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,花园小区 精装3房双卫 满五年唯一红本在手 诚心急售必看好房,565万,低楼层                                    (共23层)                                                                      | 2002年建 |                                3室2厅 | 96.18平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_fhiU02bQt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满二唯一，业主2020年精装修，诚心出售，看房方便,308万,高楼层                                    (共26层)                                                                      | 1996年建 |                                2室1厅 | 50.05平米                                  | 东 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_jWOrOwIcB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,楼层居中，看山景，小区安静，人车分流，适合居家,418万,高楼层                                    (共33层)                                                                      | 2004年建 |                                2室1厅 | 61.3平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Fmtq1CeXS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装修。刚需上车房，业主诚心卖,155万,高楼层                                    (共33层)                                                                      | 2003年建 |                                1室1厅 | 34.32平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_EHkLBccFB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一红本 顶楼复式 带大露台 布心地铁口 价格可议,770万,高楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 80.15平米                                  | 西南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_Bx80tatMY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年户型方正实用，厅出阳台，复式格局,675万,中楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 73.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IQsOmx4zQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年户型方正实用，厅出阳台，复式格局,710万,中楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 73.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_S91jRt4RD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,万科物业3层半复式使用率高 半年后满五年带两个露台！,930万,高楼层                                    (共10层)                                                                      | 2003年建 |                                5室1厅 | 115.59平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-c3b31b5b-9f9a-4118-8e8d-c90ce9a5cdb4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖水贝复式住宅精装修安静居家,250万,低楼层                                    (共2层)                                                                      | 2002年建 |                                1室1厅 | 33.72平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Gxh9I8Me5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，红本在手，傍山精品，万科物业，业主诚心出售,440万,低楼层                                    (共10层)                                                                      | 2003年建 |                                2室1厅 | 73.76平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_VoFNPL7pL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,今日家园    布心地铁站     翠园东晓,668万,低楼层                                    (共25层)                                                                      | 2002年建 |                                5室2厅 | 76.66平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_1uQQH98L9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,碧岭华庭，正规三房，税费少，看房方便,700万,高楼层                                    (共34层)                                                                      | 2003年建 |                                3室2厅 | 96.3平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DsE5bmV6i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖畔山物业  安静居家 朝南两房 看山景 满五年,599万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室2厅 | 80.23平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_FH7DGtEsh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年唯一 精装修 刚需两房，正南向，诚心出售,250万,中楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 49.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-7cade4c5-f225-4718-b655-e720ebe52c70.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年，红本在手，税费少，自住，装修保养好,150万,低楼层                                    (共33层)                                                                      | 2003年建 |                                1室0厅 | 36.7平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_T2JJKILd9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,雍翠华府满两年 客厅带阳台 东向,500万,低楼层                                    (共35层)                                                                      | 2004年建 |                                2室2厅 | 68.73平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_I8JGWz6FF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年红本在手，刚需大户型业主诚心出售主卧带大阳台,850万,低楼层                                    (共15层)                                                                      | 2003年建 |                                3室1厅 | 133.79平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lfj6SxQ23_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年不唯一，高楼层视野好，自住上品,730万,高楼层                                    (共25层)                                                                      | 2002年建 |                                4室1厅 | 61.51平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_MzYyH4rml_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,地铁口 刚需房 满2年 配套完善,250万,中楼层                                    (共26层)                                                                      | 1996年建 |                                1室1厅 | 50.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_B9mWtuAFW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,小面积，总价格低，高层采光好，住家合适,285万,高楼层                                    (共24层)                                                                      | 2002年建 |                                1室1厅 | 41.26平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Owiprv3O9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五红本在手，翠园东晓，精装修二房，税费少！,610万,低楼层                                    (共25层)                                                                      | 2002年建 |                                2室1厅 | 68平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ef9ZNYiGm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,低总价业主诚心卖 精装修。交通方便，草埔地铁,228万,中楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_L39gQIUxF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 税少 复式五房 居家好房 业主自住 保养很好,698万,高楼层                                    (共31层)                                                                      | 2002年建 |                                5室2厅 | 148.7平米                                  | 东 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bo5qtjQHn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满2年 15年的次新房，业主诚心卖，红本在手,240万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 35.57平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/pc1_JDGZAIAV7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，低成本，易上车，户型方正实用，临地铁,145万,低楼层                                    (共33层)                                                                      | 2003年建 |                                1室1厅 | 33.17平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_dzL16xNq0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠景山庄 顶楼复式大五房 精装修 带楼顶花园 独立车位,1250万,高楼层                                    (共15层)                                                                      | 2003年建 |                                5室2厅 | 174.15平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_V5n5u71ik_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,小区靠山，自带登山道，环境清幽，采光通风好,615万,中楼层                                    (共10层)                                                                      | 1997年建 |                                3室2厅 | 90.52平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0cCvjn543_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,高层正规3房层高不压抑，业主诚心出售,730万,高楼层                                    (共25层)                                                                      | 2002年建 |                                3室2厅 | 92.54平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_NeIStW2WI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,loft复式单身公寓，总价低  精装修,225万,低楼层                                    (共2层)                                                                      | 2002年建 |                                1室0厅 | 36.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZGyKQ7oti.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满2年  看山景湖景   居家大三房,720万,高楼层                                    (共26层)                                                                      | 2002年建 |                                3室1厅 | 117.98平米                                  | 东北 东,http://ke-image.ljcdn.com/110000-inspection/pc1_NNB1E2BOK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山一期湖景花园 精致大四房 带大阳台,1080万,低楼层                                    (共32层)                                                                      | 2006年建 |                                4室2厅 | 170.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_AZHwjyoiE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,店长推荐满五唯一 复式三房 高层看山景 保养得不错,760万,中楼层                                    (共25层)                                                                      | 2002年建 |                                4室2厅 | 76.66平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_YJRCJ5W4G.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,草铺地铁口物业 总价低一房 税费少,245万,高楼层                                    (共7层)                                                                      | 1999年建 |                                1室1厅 | 46.15平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-b3a34351-bd3c-4a4c-a1b2-4cc468b0f27d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,紫荆花园标准三房，两层少有户型。诚心卖,398万,高楼层                                    (共7层)                                                                      | 1999年建 |                                3室1厅 | 97.26平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/pc1_VYqkM6Adn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,太阳新城复式两房 住宅性质 低总价,285万,低楼层                                    (共2层)                                                                      | 2002年建 |                                1室1厅 | 49.34平米                                  | 东 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_aP5xeRATX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,东湖豪庭 4房，公园盘，适合居住,950万,低楼层                                    (共27层)                                                                      | 2001年建 |                                4室2厅 | 159.98平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-d338c1c7-bfbb-49e4-8f24-7b0f8c0b2322.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满2年 水贝地铁口精装复式三房 IBCmall  买一层享两层,368万,低楼层                                    (共2层)                                                                      | 2002年建 |                                3室1厅 | 51.47平米                                  | 东 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_qxgNekO7p_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,隔山看景，居家好房。看房方便业主诚心出售,1080万,低楼层                                    (共34层)                                                                      | 2005年建 |                                4室2厅 | 146.23平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_7j8L0h2nz.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,鸿基花园带小区环境，满两年，户型方正，诚心卖,530万,低楼层                                    (共22层)                                                                      | 1997年建 |                                3室2厅 | 104.03平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_JPK5jPjHs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五税费少，近地铁站。罗湖好房，旁边有福安超市。,450万,高楼层                                    (共7层)                                                                      | 1999年建 |                                3室1厅 | 107.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_AKFSoKqT3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,总监推荐！满五唯一，朝南采光视野好！,600万,中楼层                                    (共10层)                                                                      | 2003年建 |                                2室1厅 | 79平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-ae830e4b-b664-457a-a193-915e19545348.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一红本在手 特殊户型 带观景阳台 精装修 东南向,620万,高楼层                                    (共24层)                                                                      | 2002年建 |                                2室1厅 | 78.13平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_AWhOkyhND_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,3号线水贝地铁口 顶楼复式 业主诚心卖 今年3月满五,870万,高楼层                                    (共9层)                                                                      | 1997年建 |                                4室1厅 | 152.23平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-adbf453f-a802-4618-9d40-fdea68b88760.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,伴山物业，舒适住家，买来即住。,2250万,低楼层                                    (共32层)                                                                      | 2006年建 |                                4室1厅 | 221.7平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-f635fb91-57cb-4dd5-9e78-94863022b089.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝 碧岭华庭 大三房 满五年红本在手,880万,中楼层                                    (共34层)                                                                      | 2003年建 |                                3室2厅 | 119.18平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/test-bffc21ba-b184-4846-9b20-015dc9f4d51a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,阳光明居满五年唯一套，红本在手，座北面南顶楼复式,1160万,高楼层                                    (共12层)                                                                      | 2006年建 |                                3室2厅 | 125.15平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-2bad2a79-ec7e-419b-940d-0c03432e9d0e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,中低楼层上下方便，满五唯一红本在手税费少,690万,中楼层                                    (共8层)                                                                      | 1997年建 |                                2室1厅 | 72.5平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-f11c831d-f479-4426-b181-0f8d9af698db.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,看洪湖彩虹桥景观，东南两房带阳台，户型方正，近地铁,429.9万,高楼层                                    (共29层)                                                                      | 1995年建 |                                2室2厅 | 94.26平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_m8jHD54nd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,3月份满五唯一，公务员住宅楼，车位充足，使用率高新上,470万,中楼层                                    (共8层)                                                                      | 1998年建 |                                3室1厅 | 83.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_U1G1brWXa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，高楼层采光视野好，次新房，车位充足！新上,650万,高楼层                                    (共32层)                                                                  3室2厅 | 89.53平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_gTD2wKD08_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖居家花园社区 南北通透 适合老人小孩,543万,低楼层                                    (共8层)                                                                      | 1999年建 |                                2室2厅 | 76.98平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_WIlGBVKII_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,loft复式单身公寓，属住宅性质，总价低,275万,低楼层                                    (共2层)                                                                      | 2002年建 |                                1室1厅 | 43.96平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_bhEju3XYl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,畔山封闭小区、满五年、精装修、高层,1250万,高楼层                                    (共32层)                                                                      | 2012年建 |                                4室2厅 | 152.17平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/c32ba335-11bd-4776-9376-7a2cc5ed3c35.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,碧岭小三房 满五诚售 高层视野无遮挡 采光好！,518万,高楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 84.54平米                                  | 西南,http://ke-image.ljcdn.com/hdic-frame/prod-2ff21a10-784d-42aa-83c2-f29d6b3f9dfb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装修温馨两房 半山物业 告别城市喧嚣 安静适合住家,662万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 82.26平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/standard_543a9eee-df29-4f7b-a1ae-1142d3c862e8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,松泉山庄 2室1厅 南,400万,中楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 70.05平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/482cd788-3b49-4829-8bd9-eaf2a189a703.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,山湖居 3室1厅 南,620万,中楼层                                    (共11层)                                                                      | 2003年建 |                                3室1厅 | 92.24平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/92f24174-4c83-4e19-ac54-e84e053d5b1b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
