20210126,大鹏新区,大鹏半岛,鹏海苑小区 1室1厅 南,138万,低楼层                                    (共6层)                                                                      | 2006年建 |                                1室1厅 | 48.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UmxWdz4oR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 东丽观海别墅  满五 红本在手,890万,低楼层                                    (共3层)                                                                  6室2厅 | 319平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_BaaaEqtvZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海景山景房，面积实用，可选好房源,380万,中楼层                                    (共15层)                                                                      | 2015年建 |                                3室2厅 | 84.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Upa1PoEUr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满五精装三房复式看城景山景,320万,高楼层                                    (共15层)                                                                      | 2009年建 |                                3室2厅 | 73.79平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_lnMpXQ3my_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,华侨海景山庄，精装两房，业主有心卖，看房方便采光好,225万,低楼层                                    (共1层)                                                                  2室2厅 | 77.35平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9yLZ36k8i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 3室2厅 东南,370万,中楼层                                    (共15层)                                                                  3室2厅 | 86.03平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_t1IEkxWs9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场 3室1厅 南,305万,中楼层                                    (共17层)                                                                      | 2013年建 |                                3室1厅 | 79.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TEAtBSbcD.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,华侨海景山庄 山中别墅 环境幽静 面朝大海,600万,低楼层                                    (共3层)                                                                      | 2000年建 |                                3室1厅 | 137.27平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-dc7c9145-5548-4359-aa25-79fb3ca5a771.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五唯一，红本在手，费用很少，可以看海必看好房,87.8万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.34平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_C9ZfjH70r_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,云山栖精装四房出售 业主诚心卖  看房方便,459.5万,高楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 87.14平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jftnisBjy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏满五年红本在手大三房  带大花园,300万,低楼层                                    (共2层)                                                                  3室2厅 | 127.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Y9iMoFljW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,装修好的复式两房  业主诚心出售,280万,低楼层                                    (共15层)                                                                      | 2015年建 |                                2室1厅 | 78.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ydBbsHFSS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖，全新毛坯房，业主有心卖，采光好环境好,1160万,低楼层                                    (共1层)                                                                      | 2015年建 |                                5室2厅 | 190.98平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_hpvkhwBdO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰海语山林，精装大两房，采光好业主有心卖看房方便,230万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室1厅 | 70.24平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6OFza01QQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,靠湖的别墅，位置好，空间大，业主诚心出售,1100万,低楼层                                    (共1层)                                                                      | 2015年建 |                                8室3厅 | 190.95平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_uEDC3twwV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房位于大鹏半岛，环境优美，自带大型购物综合体,108万,高楼层                                    (共17层)                                                                      | 2013年建 |                                1室0厅 | 44.73平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Bidg9cMGW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满五年，红本在手，免增值税，360度无死角海景,346万,低楼层                                    (共4层)                                                                      | 2003年建 |                                2室1厅 | 81.3平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_fPe7VdOYz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰陶柏莉，精装三房朝南看山看别墅，采光好户型方正,385万,低楼层                                    (共24层)                                                                      | 2016年建 |                                3室1厅 | 88.76平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_vPWkS6Se3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小户型70年产权，本房业主诚心出售。,95万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-3984af19-7f94-461c-a6f7-5c997e95dbb7.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏承翰半山海一房 业主诚心出售,150万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-7c6f9e55-92a2-43c7-9905-61b82b4b651a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海，全新毛坯房，看山看海，采光好环境好,260万,中楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.83平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_IjH9a7XLF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 金众云山栖  三房 带装修,385万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 86.03平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_nWDULPEhu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 满五年 精装修 复式两层看海 业主诚售,300万,中楼层                                    (共14层)                                                                      | 2015年建 |                                3室2厅 | 77.95平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_vKEgKENwz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型方正   采光好，业主诚心出售,268万,高楼层                                    (共6层)                                                                      | 2007年建 |                                2室2厅 | 89.36平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_cTvddTQdu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 承翰陶柏莉  钥匙在手 看房方便,330万,高楼层                                    (共24层)                                                                      | 2016年建 |                                3室2厅 | 72.99平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_2CEXmGiUO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场 2室2厅 南 北,150万,低楼层                                    (共18层)                                                                      | 2013年建 |                                2室2厅 | 57.63平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_p8hVk0uW8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,看海景，现代化园林式小区 实用户型 大阳台 适合居家,210万,低楼层                                    (共16层)                                                                      | 2015年建 |                                2室1厅 | 59.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Wl52wzPrf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房朝南 精装修三房 高楼层 采光好 通风好,380万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室1厅 | 73.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_1UhcrLLUk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房简单装修，南北朝向，可看海看山，,268万,高楼层                                    (共23层)                                                                      | 2015年建 |                                2室2厅 | 77.93平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_MKw3OfDKs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五唯一，红本在手，户型方正，一线海景,220万,中楼层                                    (共4层)                                                                      | 2003年建 |                                1室1厅 | 54.44平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_eJ1nnjbgs.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,云山栖别墅，端头位置，花园大，光线好,1500万,低楼层                                    (共1层)                                                                      | 2015年建 |                                5室2厅 | 219.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_e9Xh78O7C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,红本在本，满五唯一，本房105平米，标准大三房。,265万,中楼层                                    (共5层)                                                                      | 1995年建 |                                3室2厅 | 105.57平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_4ojNrHm5P_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小区环境，空气好，房子带精装修南北通看山看花园,400万,低楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.38平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_J8pGoixs6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,御海湾山庄独栋别墅，花园120平，带车位，看海景,550万,低楼层                                    (共3层)                                                                  4室2厅 | 236.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DaHroXOIX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,璞岸精装两房出售  业主诚心卖  看房联系业主,295万,中楼层                                    (共16层)                                                                      | 2015年建 |                                2室2厅 | 74.7平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_p93swLrGg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,品质大社区 陶柏莉 大阳台三房 位置好,400万,低楼层                                    (共24层)                                                                      | 2016年建 |                                3室2厅 | 88.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wS4GAd78f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,璞岸精装三房出售 业主诚心卖 看房方便,280万,低楼层                                    (共23层)                                                                      | 2015年建 |                                2室2厅 | 89.36平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_hOLIM9XBb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年的房子 云山栖少有小户型 有心卖,280万,高楼层                                    (共33层)                                                                      | 2016年建 |                                2室2厅 | 61.77平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_nOvoRfX62_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,现代化园林式小区 视野宽阔 实用户型 大阳台 适合居家,200万,中楼层                                    (共16层)                                                                      | 2015年建 |                                2室2厅 | 76.52平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QotucmvaN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小区环境好 适合住家 格局方正,430万,低楼层                                    (共18层)                                                                      | 2009年建 |                                4室2厅 | 141.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WzMlCjaXw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满五唯一 采光通风 视野好 房子装修好，面积实用,105万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_MAj6HAELa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,宽敞舒适大三房，环境好，户型方正，小区园林,390万,低楼层                                    (共10层)                                                                  3室2厅 | 153.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_iznMu6Zyw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,毛坯两房朝南看花园，装修自己想要的风格,305万,低楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 72.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7j5YjK475_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大阳台 精装修 通风采光好 户型比较实用,202万,低楼层                                    (共17层)                                                                      | 2013年建 |                                1室1厅 | 57.66平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/4961559d-9529-41bc-addd-597937612094_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年 红本在手 高素质人群小区 亚迪村 大复式,550万,高楼层                                    (共11层)                                                                      | 2003年建 |                                3室3厅 | 199.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-1ce97430-21ad-4c13-9e17-9faa3f8d5dbb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满2年，看房方便，南向精装复式，厅出阳台,278万,低楼层                                    (共23层)                                                                      | 2015年建 |                                3室2厅 | 74.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CaA8tMrDm.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,璞岸 复式海景大三房  交通便利配套齐全,300万,中楼层                                    (共23层)                                                                      | 2015年建 |                                3室2厅 | 86.97平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_eEa4lgYjr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海 满五年唯一 毛坯 看山看海,250万,高楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.83平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_C5uuZfU6R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏此房精装修户型方正实用配套完善，带装修，看花园,320万,高楼层                                    (共18层)                                                                  3室2厅 | 86.62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bUkqZ4OKM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五唯一，红本在手，亚迪村130平，大三房，三个阳台,345万,中楼层                                    (共11层)                                                                  3室2厅 | 130.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QiVjqX3eJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房总价低费用少户型实用配套完善，带装修，看花园,290万,中楼层                                    (共23层)                                                                      | 2015年建 |                                3室1厅 | 86.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8LTcmhzFC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房精装三房，满五唯一，周末看房，高楼层视野开阔,290万,高楼层                                    (共18层)                                                                      | 2014年建 |                                3室2厅 | 81.55平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zdP2GuSxy.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海   复式两房看海  业主诚心卖,298万,中楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.69平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_zmIFeNYst_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小梅沙旁8号线物业精装修独栋别墅带花园露台看海,900万,低楼层                                    (共3层)                                                                  8室2厅 | 302.12平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_acrbNnNff_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小梅沙旁8号线沿线独栋别墅大花园露台看海,700万,低楼层                                    (共3层)                                                                      | 1999年建 |                                6室2厅 | 302.4平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_iwCJAw0Dq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏佳兆业广场一房诚售，总价低费用少地段好！,100万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室0厅 | 44.74平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_FxKvBWFGA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,70年产权的住宅 精装修小户型 视野好 看山看海,96万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_74S7LYfDz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,华侨海景山庄 山中别墅 环境幽静 上下四层 面朝大海,600万,低楼层                                    (共3层)                                                                  3室2厅 | 137.39平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_WjbLNVTg3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房位于大鹏半岛，楼下便是大型购物综合体,115万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 37.23平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KwiuDPlui.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,云山栖别墅，端头位置，花园大，光线好,1200万,低楼层                                    (共1层)                                                                      | 2016年建 |                                5室2厅 | 212.04平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OhrXqjj1M_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 亚迪村 大三房 交通便利,400万,中楼层                                    (共10层)                                                                  3室2厅 | 155.76平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ffrEgjz5g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年，二楼大复式，大社区，低密度，装修很好,599万,高楼层                                    (共17层)                                                                      | 2009年建 |                                4室2厅 | 142.32平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_YWIpJieX4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 2室2厅 东南,326万,中楼层                                    (共15层)                                                                      | 2015年建 |                                2室2厅 | 78.55平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ivyliGEEw.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,璞岸 大复式 精装修 拎包入住 看房方便,700万,高楼层                                    (共18层)                                                                      | 2014年建 |                                4室1厅 | 164.97平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_dXYFfOlUN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海复式两房 业主诚心卖,290万,低楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.3平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_9P7e59t2Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,70年产权的住宅，精装修户型，视野好，看山看海,240万,高楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.82平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_XgYNQynaW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房位于大鹏半岛，环境优美，自带大型购物综合体,125万,中楼层                                    (共18层)                                                                      | 2013年建 |                                1室1厅 | 57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_V3g2vjKu3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满五不唯一，采光视野好，住家舒适,270万,低楼层                                    (共12层)                                                                      | 2004年建 |                                3室1厅 | 88.61平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZJwjbdaiO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海  三房 业主诚心卖,300万,低楼层                                    (共16层)                                                                      | 2015年建 |                                3室2厅 | 86.2平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_rUfwL6Uxx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,品质大社区陶柏莉 3房好户型 朝南看别墅,385万,低楼层                                    (共28层)                                                                      | 2016年建 |                                3室2厅 | 89.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_d18mQwqvz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满5年!!!承翰半山海2房毛坯状态 业主诚心出售,221万,中楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.83平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_agWtNSvhD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖 精装四房 业主诚心卖,428万,低楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 88.57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cHET8yum9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,三科麓湾 1室1厅 南,365万,低楼层                                    (共5层)                                                                  1室1厅 | 89.65平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yUI9hJqo8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,华侨海景山庄 面朝大海别墅 位置安静舒适 红本在手,1020万,低楼层                                    (共3层)                                                                      | 1992年建 |                                5室2厅 | 217.86平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_pNKVBXLZu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区  万科十七英里  复式高层 看海景 视野好,650万,高楼层                                    (共18层)                                                                      | 2006年建 |                                1室1厅 | 67.56平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_WhiyIRZ57.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,现代化园林式小区 视野宽阔 实用户型 适合居家 急售！,320万,高楼层                                    (共23层)                                                                  3室2厅 | 86.67平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_D82XV4HAE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,全新毛坯 花园小区 户型方正 朝南 可看风景,355万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.31平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_j61gJPKTa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满5年 经典海景房、上下复式2层 实用率高，只要230万,230万,高楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.96平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_DZh7vZAg5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,深圳市大鹏新区半山海海景房，舒适居住。,360万,中楼层                                    (共14层)                                                                      | 2015年建 |                                2室2厅 | 77.96平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_nAzPzk4Xm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,PURE33璞岸 户型方正实用 顶层复式 山海景观 看房方便,820万,高楼层                                    (共23层)                                                                      | 2015年建 |                                5室3厅 | 310.03平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_1Kxr92UCn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,万科17英里全海景别墅，带两个大露台，精装修，红本,2100万,低楼层                                    (共3层)                                                                      | 2002年建 |                                4室2厅 | 222.74平米                                  | 东南 南,http://ke-image.ljcdn.com/440300-inspection/pc1_z6mg5JD7n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,璞岸3房毛坯房，满四年业主诚心卖，看房方便。,270万,中楼层                                    (共23层)                                                                      | 2015年建 |                                3室1厅 | 83.39平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/pc1_DEL2fBKl6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房是别墅，视野开阔采光好，背山靠海，居住舒服！,2580万,低楼层                                    (共1层)                                                                      | 2010年建 |                                5室3厅 | 275.81平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/pc1_o80NPsC6Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小区自带私家沙滩，鹅卵石沙滩，住家舒适。,480万,中楼层                                    (共18层)                                                                      | 2006年建 |                                2室1厅 | 64.71平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-83fe0403-cab1-451c-ba36-ff66dc35ac54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,万科十七英里，精装复式三房，业主有心卖，看房方便,500万,低楼层                                    (共18层)                                                                  3室2厅 | 98.88平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-87b16206-f67b-4385-b404-773c39a678d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年 鑫园广场 89平3房 带装修 满两年 楼层好,290万,中楼层                                    (共12层)                                                                      | 2008年建 |                                3室2厅 | 89.58平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-c8544eca-67e1-4b57-a114-44b6030bc0ff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
