20210126,福田区,梅林,房子满五唯一，精装修，地铁口物业，宜居，采光好。必看好房,248万,中楼层                                    (共7层)                                                                      | 1998年建 |                                1室1厅 | 35.14平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_0kSwver7Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一，中楼层，精装修拎包入住，业主诚心卖新上,648万,低楼层                                    (共7层)                                                                      | 1996年建 |                                2室2厅 | 79.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kyzr56kmM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,正南朝向，经典两房户型，视野好，满五年红本必看好房,625万,高楼层                                    (共7层)                                                                      | 1999年建 |                                2室2厅 | 76.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_s5PgyJY81_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村三区水库景观三房两厅出售,830万,中楼层                                    (共32层)                                                                      | 2002年建 |                                3室2厅 | 89.8平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_Mttvha3Qe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,下梅林 顶楼复式带车库和大露台 五房近地铁公园,1280万,高楼层                                    (共9层)                                                                      | 1997年建 |                                5室2厅 | 195.01平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/3026face-53d3-48c8-baaf-7b55552ce094_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,花园小区，户型方正，诚心出售，方便看房新上,675万,高楼层                                    (共17层)                                                                      | 2000年建 |                                2室1厅 | 76.42平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PtY4PyTlv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,高层复式 南北通 高使用率 采光好视野好 安静舒适新上,1360万,高楼层                                    (共18层)                                                                      | 1998年建 |                                4室2厅 | 117.61平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wiRxURBeP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,颐林雅院 3室1厅 南新上,745万,中楼层                                    (共8层)                                                                      | 2008年建 |                                3室1厅 | 75.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cLvwyooE1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,安静中间楼层，满五年唯一，税费少，红本在手，交易快,760万,中楼层                                    (共8层)                                                                      | 1997年建 |                                3室2厅 | 99.81平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_AgKm10yUY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,栖棠映山 6室2厅 南,3000万,中楼层                                    (共25层)                                                                  6室2厅 | 231.49平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WIho4nnDC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧华庭居梅香三房，带固定车位，满五唯一必看好房,890万,低楼层                                    (共17层)                                                                      | 2000年建 |                                3室2厅 | 100.48平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_16XnGW10a_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村四区多层围合，大社区，业主诚售,990万,高楼层                                    (共9层)                                                                      | 1998年建 |                                3室1厅 | 95.72平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ep7c87GfH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一红本在手无欠款业主自住,838万,中楼层                                    (共17层)                                                                      | 2005年建 |                                3室2厅 | 84.61平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rMgup9M01_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,70年住宅，2003年社区，地铁口物业，楼下就是地铁。必看好房,240万,高楼层                                    (共31层)                                                                      | 2003年建 |                                1室0厅 | 28.57平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_S2djrjBzr.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,上梅林小户型 业主诚心出售 可看房新上,266万,高楼层                                    (共7层)                                                                      | 1996年建 |                                1室1厅 | 42.87平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WuavkoxL8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,汇龙花园  朝南方正三房  通风采光好  楼层佳,650万,中楼层                                    (共7层)                                                                      | 1999年建 |                                3室1厅 | 76.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3KR3zy4Cd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,大阳台南北通透，方正阔气，高楼层山景视野佳,890万,高楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 98.49平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_RtP9cUcaS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,一手业主，红本在手。得房率高，小户型易出租,345万,低楼层                                    (共30层)                                                                      | 2013年建 |                                2室2厅 | 52.55平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_evjlpEmXb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福田次新房，德系精装，业主诚心出售，户型方正新上,745万,低楼层                                    (共46层)                                                                      | 2015年建 |                                2室2厅 | 61.9平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_iQrdVyi5U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,2+1房，朝南看花园，满五年税费少新上,805万,低楼层                                    (共24层)                                                                      | 2005年建 |                                2室2厅 | 78.38平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dJL4OGju0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子有三个露台，12平，靠公园安静，家门口地铁新上,1342万,低楼层                                    (共12层)                                                                      | 2001年建 |                                4室2厅 | 122.72平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_tfXFE08lw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,绿景虹湾 3室2厅 南新上,850万,中楼层                                    (共46层)                                                                      | 2015年建 |                                3室2厅 | 66.96平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zRok7hZMs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅景地铁京基开发的封闭花园小区，南向两房，刚需户型新上,645万,高楼层                                    (共12层)                                                                      | 1999年建 |                                2室1厅 | 75.89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/cc745974-4230-437c-b24c-03e397bd290a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,户型方正实用，电梯直通地铁，精装拎包入住自住诚心卖新上,635万,低楼层                                    (共46层)                                                                      | 2015年建 |                                2室1厅 | 57.18平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_IbjiqabKP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,朝南看花园 安静户型 采光好 业主诚心卖新上,415万,中楼层                                    (共7层)                                                                      | 1999年建 |                                1室1厅 | 41.29平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OoGf0MaHC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,新上房源，带大花园，满五唯一税费少新上,1250万,低楼层                                    (共24层)                                                                      | 2005年建 |                                4室2厅 | 109.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_gacRldMLN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,御锦公馆 1室0厅 东,245万,高楼层                                    (共30层)                                                                      | 2013年建 |                                1室0厅 | 19.43平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_cbWNBPWIC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口物业 卓悦汇商圈 白领集中之地 易出租,235万,高楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 36.9平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_3TQMmz0H8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林优质三房，环境优美，居住舒适，住家必选！,930万,中楼层                                    (共17层)                                                                      | 2000年建 |                                3室1厅 | 106平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_p9tH3peLH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心卖，看房方便，房子满五，东南朝向。,1550万,中楼层                                    (共25层)                                                                      | 2008年建 |                                3室2厅 | 125.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_fNlmgRTe4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,雕塑家园 2室2厅 南 北,430万,高楼层                                    (共30层)                                                                      | 2002年建 |                                2室2厅 | 72.13平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_OPKV2jyzp.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口精装两房 卓悦汇商圈 白领集中之地 易出租,375万,低楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 52.55平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_2i1nvRkLZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,楼梯顶楼复式红本在手业主急售有大露台,1180万,高楼层                                    (共7层)                                                                      | 1996年建 |                                4室2厅 | 135.89平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_us6xPzBgv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子满五唯一，红本在手。朝南向，实用率超高,498万,高楼层                                    (共13层)                                                                      | 2001年建 |                                1室1厅 | 53.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cUk38TWdI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福兴花园四房，满五唯一，红本在手，业主诚心卖,950万,低楼层                                    (共11层)                                                                      | 2002年建 |                                4室2厅 | 97.69平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6tURJkiqP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双阳台 南向三房 满五年 户型方正 红本在手,929万,低楼层                                    (共17层)                                                                      | 2005年建 |                                3室1厅 | 83.99平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_4H4fndjsu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,2006年带泳池大社区，总价低，上车好户型,310万,中楼层                                    (共18层)                                                                      | 2006年建 |                                1室0厅 | 32.39平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_tIteGTGhQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子满五唯一红本在手。朝正南向正规两房。,668万,高楼层                                    (共14层)                                                                      | 2001年建 |                                2室2厅 | 77.28平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/fb0bb28f-c21c-4118-b09c-040df52d83d8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,雕塑家园143平大复式，自住办公都合适。满五税费低,650万,中楼层                                    (共30层)                                                                      | 2002年建 |                                5室2厅 | 143.15平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_yfQbZaSEF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,上梅林  双地铁口物业  电梯三房 精装 满五 红本在手,858万,低楼层                                    (共17层)                                                                      | 1999年建 |                                3室2厅 | 105.2平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ewxTkpK9o_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心出售 看房方便 户型方正实用！,380万,低楼层                                    (共30层)                                                                      | 2002年建 |                                2室1厅 | 72.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_35twx8ejl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,雕塑家园 2室2厅 南 北,400万,高楼层                                    (共30层)                                                                      | 2002年建 |                                2室2厅 | 72.13平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jfhfkUJ4e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主自住保养好，欧式精装修，采光好依山傍水适合居住,2100万,中楼层                                    (共27层)                                                                      | 2014年建 |                                4室2厅 | 177平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_VvwoXIiF3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,带一固定车位，南北通，正规5房。业主诚心出售,1600万,低楼层                                    (共9层)                                                                      | 1998年建 |                                6室2厅 | 246.49平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TBfxPCWtx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,翰岭院满五唯一三房，朝南，采光通风好,1000万,高楼层                                    (共17层)                                                                      | 2005年建 |                                3室2厅 | 94.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_GYzSn8rwU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口二房，精装修，电梯房，出小区就是4号线9号线,285万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 39.04平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_rgvNHtgst_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心出售  户型方正实用 宜居宜办公 易出租！,290万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 39.04平米                                  | 南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_2dGnFXx5w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,精装两居室 人车分流社区 品牌物管 唯一住宅 诚心出售,698万,中楼层                                    (共17层)                                                                      | 2000年建 |                                2室2厅 | 85.97平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_kGtWi6Rky_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,绿景虹湾 3室1厅 东南,920万,中楼层                                    (共46层)                                                                      | 2015年建 |                                3室1厅 | 75.14平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/d5af8094-e55c-4805-8efc-837b4570b741_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,南北通透 观绿化 南向看水池 园区品质高 业主诚售必看好房,1760万,中楼层                                    (共32层)                                                                      | 2011年建 |                                4室1厅 | 177.21平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_F5DSgox4t_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,合正逸园高楼层方正实用三房，满五年税费少,795万,中楼层                                    (共11层)                                                                      | 2003年建 |                                3室2厅 | 86.97平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_YSXm2pXAY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年，唯一一套，税费少。楼层佳，南北通，采光好必看好房,900万,中楼层                                    (共12层)                                                                      | 1999年建 |                                3室1厅 | 107.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_uCJBBkBFY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,得房率高的地铁口物业，方正大三房，业主变现急售,600万,中楼层                                    (共7层)                                                                      | 1992年建 |                                3室2厅 | 80.49平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/8686b0b8-c1a5-4055-80ff-3b29acae50ed_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,中高档社区 满五唯一 高楼层视野好采光好 安静三房,880万,高楼层                                    (共17层)                                                                      | 2000年建 |                                3室2厅 | 106.81平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/f4f7339a-d834-4aa9-ad87-76f4fbca8666_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁站旁精致小户型格局明亮满五唯一业主诚心卖,280万,低楼层                                    (共13层)                                                                      | 2000年建 |                                1室1厅 | 28.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IQCzd8MuQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华茂苑 3室1厅 南,750万,高楼层                                    (共8层)                                                                      | 1997年建 |                                3室1厅 | 91.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_evJLcXwWT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,雕塑家园 3室2厅 南,660万,高楼层                                    (共30层)                                                                      | 2002年建 |                                3室2厅 | 143.15平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_5c3uAWUaW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年不唯一红本在手目前业主自己住看房一般提前约必看好房,860万,中楼层                                    (共17层)                                                                      | 2001年建 |                                3室2厅 | 99.67平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/968bbfd5-fce9-44ed-96f0-6cd2aa1d91c8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,70年产权纯住宅！先科花园精装修小两房 业主诚心出售,355万,低楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 49.26平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/51b74034-e4a8-4f68-84a1-c53d74c278b3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村方厅户型，超大主卧室，带大飘窗,790万,低楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 98.29平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_XQNcgmUqV.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子满五楼层好采光足，业主诚心出售，楼下就是家乐福,580万,低楼层                                    (共15层)                                                                      | 2003年建 |                                2室1厅 | 62.7平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_TQuMirCx0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅兴苑 79平大两房 南向三阳台 方正实用必看好房,610万,中楼层                                    (共7层)                                                                      | 1996年建 |                                2室2厅 | 79.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9VcKT1TaH.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,半山御景 花园社区 电梯朝南 精装两房,725万,低楼层                                    (共15层)                                                                      | 2008年建 |                                2室2厅 | 71.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kPdOusf1F.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,南北通透，精装修，拎包入住，采光好,1800万,高楼层                                    (共9层)                                                                      | 1998年建 |                                6室2厅 | 246.49平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_OHEt0NSDZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,深新大厦 3室1厅 东南,500万,高楼层                                    (共8层)                                                                      | 1997年建 |                                3室1厅 | 81.31平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-da8b74f8-17ef-4fb7-86d8-a06add467381.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧华庭居 3室1厅 东北,899万,高楼层                                    (共17层)                                                                      | 2000年建 |                                3室1厅 | 100平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_SQaWGCNWr.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,御锦公馆  东南向小户型  实用方正  看房子方便,185万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 28.75平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/33dcbfdb-1ac4-4a2a-80ac-d02c14641956_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心出售，满五唯一税费少 小高层电梯...,175万,中楼层                                    (共13层)                                                                      | 2000年建 |                                1室0厅 | 19.06平米                                  | 北 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_zljeVmDTf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧华庭居 南向 方正两房 满五年唯一住宅,670万,高楼层                                    (共17层)                                                                      | 2000年建 |                                2室2厅 | 76.97平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/1d0f6b30-f887-47da-95a7-2f4c7bc855b6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,社区大 绿化好 人车分流 24小时管理 正南朝向适宜家,868万,中楼层                                    (共17层)                                                                      | 2000年建 |                                3室2厅 | 105.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/07da4c98-c06c-4375-80c1-674a1664bcb9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一，红本在手税费少，房型方正，无浪费面积。,1000万,中楼层                                    (共17层)                                                                      | 2005年建 |                                3室1厅 | 94.42平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/9ed38321-f929-49af-83c4-a5877ab1ca87_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,林海山庄朝南两房户型方正红本在手,646万,中楼层                                    (共13层)                                                                      | 2001年建 |                                2室2厅 | 77.28平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WMb3CRsnK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,出售商铺，价格实惠，环境舒适，诚心售卖，,150万,低楼层                                    (共8层)                                                                      | 1998年建 |                                1室0厅 | 45.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xisg1QmMi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,林海山庄朝南看小区两房 安静采光好,650万,中楼层                                    (共14层)                                                                      | 2001年建 |                                2室2厅 | 79.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6F5VYdLy1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧荔花园复式 户型方正 配套齐全  梅香实验教育,1600万,中楼层                                    (共9层)                                                                      | 1998年建 |                                6室2厅 | 248.45平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/04e5bbfe-920b-4dd9-8f62-62331c3529d3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,大露台，双地铁口，小区环境好，安静，购物出行方便。,620万,低楼层                                    (共11层)                                                                      | 2005年建 |                                2室1厅 | 55.15平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/c1450582-09e0-45c0-827f-134ef20e2cdd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,南向，满五年唯一 ，地铁口，诚心售必看好房,820万,中楼层                                    (共17层)                                                                      | 2005年建 |                                3室1厅 | 84.61平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3OjghLxiA.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,合正逸园 3室1厅 东南,798万,低楼层                                    (共11层)                                                                      | 2003年建 |                                3室1厅 | 87.22平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/795de7b9-22e9-4ef4-a7be-c5e17e20de88_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年，红本在手，看园景，三房两卫，双地铁口,890万,中楼层                                    (共12层)                                                                      | 1999年建 |                                3室2厅 | 116.93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/dd969119-55b0-42bf-a5e6-15073ead4961_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福田标准大两房出售，满五唯一，采光好必看好房,600万,中楼层                                    (共22层)                                                                      | 2005年建 |                                2室2厅 | 71.17平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CnBc3tjdJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧华庭居 3室1厅 南,790万,低楼层                                    (共12层)                                                                      | 2000年建 |                                3室1厅 | 86平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/05b6b5ca-b825-40e7-84ca-8800d62264b1_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一，红本在手，楼层视野好，看房方便必看好房,838万,中楼层                                    (共17层)                                                                      | 2005年建 |                                3室1厅 | 87.15平米                                  | 东 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_08WgEEkXE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口物业，2013年的小区，方正安静2房，急售。,390万,中楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 53.48平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_vhhE8D1d7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一，正规三房，3阳台，景观好,760万,中楼层                                    (共17层)                                                                      | 2008年建 |                                3室2厅 | 68.31平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_cdfKhgawL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,林海山庄朝南看小区两房，安静可以做三房,698万,低楼层                                    (共14层)                                                                      | 2001年建 |                                3室1厅 | 90.08平米                                  | 西南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_J4AlVkTKl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,御锦公馆一房，业主诚心出售，价格可以谈！,228万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室0厅 | 35.36平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Ebsw9XPVM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子满五年不唯一，复式房很安静,690万,高楼层                                    (共6层)                                                                      | 2003年建 |                                3室2厅 | 76.01平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TdRCiZmDm.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一红本在手电梯房，业主诚心出售,395万,高楼层                                    (共30层)                                                                      | 2002年建 |                                2室2厅 | 72.13平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6b5mIRjpI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一 高楼层 花园式大社区 近地铁 人车分流,845万,高楼层                                    (共17层)                                                                      | 2000年建 |                                3室2厅 | 105.78平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/82e9c089-1510-47fb-9d19-7f46f114329d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
