20210128,龙岗区,布吉石芽岭,满五年，一梯二户，南北通，厅出阳台，通风采光好必看好房,430万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 77.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_udlLYaJ58_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一，万科物业，居住环境安静。,600万,高楼层                                    (共11层)                                                                      | 2000年建 |                                5室2厅 | 139.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WhEm9pLQ1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房南北通，高楼层，业主自住精装修，前后看花园。,1218万,中楼层                                    (共33层)                                                                      | 2016年建 |                                5室2厅 | 143.04平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OLmYvkN39_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期 4室1厅 南 北,600万,中楼层                                    (共22层)                                                                      | 2008年建 |                                4室1厅 | 88.38平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9M0iEf6Zf_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭刚需大二房两房中间楼层看花园安静舒适,335万,中楼层                                    (共7层)                                                                      | 2006年建 |                                2室1厅 | 66.99平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qWXcRykHs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,户型方正税费少中高楼层朝南看花园,800万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室1厅 | 142平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YWTNPA6yo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子是顶楼复式 带天台花园 看花园,760万,高楼层                                    (共10层)                                                                      | 2005年建 |                                7室1厅 | 167.31平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_d1APxPP5m_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万科物业 精装大三房 拎包入住 带平台花园,425万,中楼层                                    (共8层)                                                                      | 2000年建 |                                3室1厅 | 83.62平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-2ad1f8be-5f09-4f7e-93e2-60dd46035161.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑 装修考究 顶复 看房方便 费用详询有惊喜,1100万,高楼层                                    (共11层)                                                                      | 2002年建 |                                6室2厅 | 193.05平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/pc1_G5IwTv3Kg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,业主诚心出售，精装修 格局好，朝南视野好，采光充足,1480万,低楼层                                    (共1层)                                                                      | 2008年建 |                                4室3厅 | 171.47平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_iQJ4DXB1d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,业主自住 户型方正 朝南看花园 高层视野,560万,中楼层                                    (共33层)                                                                      | 2008年建 |                                4室2厅 | 111.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_0dQqbKkkM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑小三房业主诚心卖，预约可看,298万,低楼层                                    (共11层)                                                                      | 2002年建 |                                2室2厅 | 77.29平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/17f575d5-0860-4065-b7ef-e92129fc54b0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城一期 3室2厅 西南 西,520万,低楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 79.82平米                                  | 西南 西,http://ke-image.ljcdn.com/440300-inspection/prod-abc6a5df-2215-44c5-a29c-93db866a9822.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑正规两房 社区里面安静 业主诚心卖,310万,中楼层                                    (共7层)                                                                      | 2000年建 |                                2室1厅 | 66.28平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Ql6gYFvS4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙岗布吉石芽岭优质大三房  南向视野采光好,500万,低楼层                                    (共11层)                                                                      | 2005年建 |                                4室2厅 | 127.81平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mNuCBJ1Vf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,来座山生态公园旁边  高拓展户型 看山景  三面采光,1078万,低楼层                                    (共32层)                                                                      | 2011年建 |                                5室2厅 | 159.15平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_9NE8oK1lr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期洋房三层复式  使用面积400平以上 带电梯,1430万,低楼层                                    (共3层)                                                                      | 2006年建 |                                6室2厅 | 215.59平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-e6eceebc-0bd1-45b6-952e-cce33b531fce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年，楼层好，视野好，采光充足,530万,低楼层                                    (共32层)                                                                      | 2008年建 |                                4室1厅 | 112.29平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/01d08c60-be2b-43f7-9525-73f9c09e9a08_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,次新房 满两年 税费少 安静舒适 采光充足 中间楼层,300万,中楼层                                    (共27层)                                                                      | 2016年建 |                                2室1厅 | 62.91平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/35406a57-491d-4d80-9ca2-cc7f58c7fdeb_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,华浩源 精装 一手业主   看花园   业主诚心卖,500万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室1厅 | 98.21平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_rRh39RCuj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境复式，业主自住精装修，实用面积大 安静舒适,1238万,中楼层                                    (共11层)                                                                      | 2008年建 |                                5室3厅 | 163.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/0dd28f9d-bd98-4612-88e6-cf9fa7d622da_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,大芬精装三房  公摊小  好楼层,360万,中楼层                                    (共7层)                                                                      | 2006年建 |                                3室2厅 | 83.03平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_HBANDNfEt.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑 精装两房 交通便利 满五年唯一，税少,300万,高楼层                                    (共7层)                                                                      | 2000年建 |                                2室2厅 | 58.61平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/439d2178-85cf-4d35-89e3-2f5cbeea4e21_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭 万科物业 东南向两房 满五年不受影响,340万,中楼层                                    (共8层)                                                                      | 2000年建 |                                2室1厅 | 72平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-3a4f9db2-93e5-43f7-bf97-a7248f42b545.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,【此房满五年免增值税】半岛苑万科物业 伴山公园红本,300万,高楼层                                    (共8层)                                                                      | 2000年建 |                                2室2厅 | 72平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-3399a6eb-ccf5-49c2-85dd-13bf1db84437.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭宁静住家 复式舒适阔宅 满5唯一 诚意出售,900万,高楼层                                    (共6层)                                                                      | 2007年建 |                                5室1厅 | 188.9平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_1931KVTLs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉华浩源顶层复式 位于小区口 出行方便 光线充足,900万,高楼层                                    (共10层)                                                                      | 2007年建 |                                4室2厅 | 182平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-25763b46-e813-49f8-ad11-79ad256a012a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑少有大户型放卖，看房方便，环境优美,850万,低楼层                                    (共8层)                                                                      | 2000年建 |                                5室2厅 | 208.98平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_oppcmzhkn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境原始户型，南北通，一手业主，诚心放卖,1560万,低楼层                                    (共1层)                                                                      | 2007年建 |                                7室2厅 | 165.97平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-c0cd2437-3b3f-4ade-b87f-60d0ae31478b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑 公园 复式 露台 景观好 文体BTO 石芽岭,586万,高楼层                                    (共11层)                                                                      | 2002年建 |                                4室2厅 | 138.93平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-1dcd33a5-e714-48e9-b0a6-a0af95151506.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,业主诚心出售，红本在手，税费少。新上,1550万,低楼层                                    (共3层)                                                                      | 2006年建 |                                6室2厅 | 227.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZySYkUSXT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万隆苑 2室2厅 南,300万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室2厅 | 57.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_U1Qkg3kBe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站物业慢城三期小区中间位置高拓展满五年,468万,低楼层                                    (共11层)                                                                      | 2008年建 |                                3室2厅 | 78.09平米                                  | 东 东南,http://ke-image.ljcdn.com/hdic-frame/prod-7025a893-9019-49e3-9841-7b32878e9bf8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线慢城满五年三房，小区安静绿化好,550万,低楼层                                    (共18层)                                                                      | 2008年建 |                                3室2厅 | 85.67平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/478c6c39-4765-47ec-9ed9-000ade7b3a69.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居 3室1厅 南,550万,低楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 102.61平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/7012eacd-4837-43cb-87b3-517cbae7a251.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五不唯一，朝南看花园看山景，采光好，通风好新上,1400万,中楼层                                    (共32层)                                                                      | 2011年建 |                                4室2厅 | 140.18平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/8ee6fa69-33a1-4cd1-8fcb-6f6c6244d545.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城一期 4室2厅 南,700万,高楼层                                    (共11层)                                                                      | 2006年建 |                                4室2厅 | 113.28平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/6f35bdb3-e71c-426c-8218-a32fa905e850.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子满五少税费，使用率高，单证大四房，朝东南看花园,1038万,低楼层                                    (共32层)                                                                      | 2011年建 |                                4室2厅 | 139.78平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/8ee6fa69-33a1-4cd1-8fcb-6f6c6244d545.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,倚山别苑 2室1厅 东南,295万,中楼层                                    (共7层)                                                                      | 2006年建 |                                2室1厅 | 67.42平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/31849caf-102a-4778-adc2-2a4d98b66a0d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年唯一税费少 业主诚意出售,900万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 138.31平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/e6a6d9e3-9972-458c-b10c-24848a2e4a4c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子满五年红本在手 带一个30平的花园 适合住家必看好房,380万,低楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 85.3平米                                  | 西南,http://ke-image.ljcdn.com/hdic-frame/02f29ac7-90b0-4493-8250-8cf2a752ab87.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五不唯一，楼层高，可以拎包入住,650万,高楼层                                    (共33层)                                                                      | 2016年建 |                                3室1厅 | 89.22平米                                  | 西,http://ke-image.ljcdn.com/hdic-frame/36e61ae3-7d60-4ada-9594-94899bc23d65.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙岗 慢城 南北向 满五年 红本 环境优美 居家优品,428万,高楼层                                    (共6层)                                                                      | 2008年建 |                                2室1厅 | 77.81平米                                  | 南 东南 北,http://ke-image.ljcdn.com/hdic-frame/884fb582-275e-4c6c-bca5-7cc995c26c95.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,居家首先，方正，楼宇比较新，小区大,450万,中楼层                                    (共10层)                                                                      | 2005年建 |                                3室1厅 | 104.44平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/8a3ee992-3022-4ac7-b7a0-32487f3c228c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,2层复式，好户型，高大尚，有私立和公立。,780万,中楼层                                    (共32层)                                                                      | 2011年建 |                                4室2厅 | 87.81平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/7439d735-e195-49d1-bbe4-65a68f1d4e59.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五电梯大三房  高层观景  视野开阔  机不可失！,450万,中楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 94.15平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/c4f0c0da-5190-454d-a28a-3f41cf643941.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一，红本在手，人车分流，大社区，端头位置，,550万,低楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 103.26平米                                  | 南 北,http://ke-image.ljcdn.com/hdic-frame/d7119153-c5d2-4dc3-927f-25ee06a215e1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,健康花城 朝南向 经典4居 业主诚心出售,1050万,低楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 129.96平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/b8561024-3dc2-41c5-9ca3-03954e50453c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,刚需实用2房，石芽岭公园山脚下，小区环境好,280万,中楼层                                    (共8层)                                                                      | 2000年建 |                                2室1厅 | 58平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/1382639b-bf5d-41a3-b256-7357958958bf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境 别墅精装修 全品牌家私电器 满五 本在手,2200万,低楼层                                    (共1层)                                                                      | 2007年建 |                                5室2厅 | 239.76平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/7c61880d-1374-4bc8-b787-c423e4e0792e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,电梯房，大五房，小区环境优美，品质优选。有钥匙看房,839万,高楼层                                    (共11层)                                                                      | 2005年建 |                                5室2厅 | 223.96平米                                  | 南 北,http://ke-image.ljcdn.com/440300-frame/4954810b-0b07-45c3-bb76-a1d08cb2807c.jpeg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线布吉石芽岭 挑空大两层 精装修 业主调价诚心卖,850万,高楼层                                    (共11层)                                                                      | 2005年建 |                                5室2厅 | 185.83平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/f1c85301-20e6-4c1b-bde5-690b5a1dcc12.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一，南向看花园，14号线就在楼下。,810万,低楼层                                    (共33层)                                                                      | 2017年建 |                                3室2厅 | 89平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,龙岗区,布吉石芽岭,此房精装修保养好，户型端正，采光通风,650万,高楼层                                    (共11层)                                                                      | 2006年建 |                                4室2厅 | 113.28平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,龙岗区,布吉石芽岭,满五年，南北通，视野宽阔，拓展面积不错户型方正 。,680万,低楼层                                    (共18层)                                                                      | 2006年建 |                                4室2厅 | 121.64平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/245265c7-add9-4fd9-a07f-b45e3b6cc75c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭优质三房 机会难得不容错过！！！必看好房,358万,低楼层                                    (共7层)                                                                      | 2006年建 |                                3室2厅 | 83.35平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/d72c931d-2245-4b8f-9127-2d9733630b02.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线布吉石芽岭满五唯一大三房户型方正楼层好,400万,中楼层                                    (共6层)                                                                      | 2006年建 |                                3室1厅 | 87.43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mVkTAuJpe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,尚峰大五房，南北通透，毛坯随意装修，红本税少诚售,1050万,中楼层                                    (共32层)                                                                      | 2016年建 |                                5室2厅 | 113.56平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_owzUsuzxO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期 3室1厅 东,468万,高楼层                                    (共11层)                                                                      | 2008年建 |                                3室1厅 | 78.09平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_0kvFSot1h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一税费少万隆苑，楼层好客厅出阳台，业主诚售,300万,中楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 65.42平米                                  | 东北,http://ke-image.ljcdn.com/hdic-frame/bcc500cf-7751-4d03-9bbf-ded14650da47.png!m_fill,w_280,h_210,f_jpg?from=ke.com
